JobNumber,Dimension,npara,ntrain,FeatureType,Activation,ValLoss,Sfal,Pxa,Sffb,PXFCR,Fb,Mean_R2
250207001,2D,NaN,1000,ftb_catonlytGIF,tanh01,0.00325,0.938921892899434,0.925727709280142,0.935024837384566,0.933682881742232,0.975989104111437,0.941869285083562
250207002,2D,NaN,1000,fta_noFE,tanh01,0.00361,0.946735544884238,0.869894192049333,0.894036404909923,0.866249961698025,0.973925748058692,0.910168370320042
250207003,2D,NaN,1000,ftd_fullreci,tanh01,0.00278,0.930666102636194,0.955278028925494,0.944669470344117,0.962168270855982,0.974671488748563,0.95349067230207
250207004,2D,NaN,1000,ftc_twithreciGIF,tanh01,0.00298,0.918706411926537,0.917568702192056,0.940021739473045,0.857843506396913,0.974580759745602,0.921744223946831
250207005,2D,NaN,1000,ftd_fullreci,relu,0.00435,0.864513418759311,0.875500478909052,0.854473953859455,0.897604844622278,0.940450442844585,0.886508627798936
250207006,2D,NaN,1000,ftc_twithreciGIF,relu,0.00836,0.842323284438648,0,0.754905633235096,0.843388167180002,0.94292405439029,0.676708227848807
250207007,2D,NaN,1000,ftb_catonlytGIF,relu,0.00488,0.808409969879821,0.742103335712825,0.742772372412128,0.778997342062694,0.861259056347448,0.786708415282983
250207008,2D,NaN,1000,fta_noFE,relu,0.01393,0.790691671652624,0,0.762531749837144,-2.22044604925031e-16,0.929855051098432,0.49661569451764
250207009,2D,NaN,2000,ftb_catonlytGIF,tanh01,0.002,0.930202426791801,0.949673282093123,0.921097576807372,0.943820332258115,0.97107393028445,0.943173509646972
250207010,2D,NaN,2000,fta_noFE,tanh01,0.00204,0.927554305823135,0.953706796376262,0.927232529219143,0.950923577586144,0.979739500091622,0.947831341819261
250207011,2D,NaN,2000,ftd_fullreci,tanh01,0.00164,0.944915869158267,0.904293584014935,0.931531476382707,0.883421591425961,0.975827811906169,0.927998066577608
250207012,2D,NaN,2000,ftc_twithreciGIF,tanh01,0.00179,0.925230327834857,0.934259466723493,0.923483159839778,0.85598688384421,0.979837841867982,0.923759536022064
250207013,2D,NaN,2000,ftd_fullreci,relu,0.00243,0.90406376297466,0.931326970160733,0.862326560887108,0.83041488117226,0.95075406475561,0.895777247990074
250207014,2D,NaN,2000,ftc_twithreciGIF,relu,0.0031,0.911066757523447,0.873650687334222,0.878676365324988,0.857461474588991,0.936493012999783,0.891469659554286
250207015,2D,NaN,2000,ftb_catonlytGIF,relu,0.00389,0.894415285114098,0.817357554941874,0.866050787891057,0.870247241518393,0.964651933632354,0.882544560619555
250207016,2D,NaN,2000,fta_noFE,relu,0.0034,0.880881806378515,0.885793891076667,0.805076159854695,0.643284151750672,0.934052288799486,0.829817659572007
250207017,2D,NaN,4000,ftb_catonlytGIF,tanh01,0.00134,0.944146120269653,0.985450171159531,0.948654181637245,0.980653809233095,0.986973688885531,0.969175594237011
250207018,2D,NaN,4000,fta_noFE,tanh01,0.0013,0.951307070592093,0.976235117657649,0.962207303441762,0.986738967938738,0.976755615560984,0.970648815038245
250207019,2D,NaN,4000,ftd_fullreci,tanh01,0.00117,0.955273566675415,0.973729166599951,0.956538479250932,0.971297562804458,0.988281196667677,0.969023994399686
